00:00:06.402 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@5a562411, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@5a562411}
00:00:06.409 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.410 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (role_id = 1 AND review_status = 2) ORDER BY create_time DESC
00:00:29.431 [http-nio-8035-exec-6] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@41ef4881, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@41ef4881}
00:00:29.433 [http-nio-8035-exec-6] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:29.433 [http-nio-8035-exec-6] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (status = 0) ORDER BY create_time DESC
00:01:02.321 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
00:03:12.517 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@23cb5e8a, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@23cb5e8a}
00:03:12.518 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:03:12.519 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (account = '1610930101')
00:05:28.610 [http-nio-8035-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@33280e24, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@33280e24}
00:05:28.611 [http-nio-8035-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:05:28.611 [http-nio-8035-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (status = 0) ORDER BY create_time DESC
00:05:42.151 [http-nio-8035-exec-3] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@24705000, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@24705000}
00:05:42.152 [http-nio-8035-exec-3] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:05:42.152 [http-nio-8035-exec-3] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (account = '10001')
00:05:42.406 [http-nio-8035-exec-7] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4c2945d1, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4c2945d1}
00:05:42.407 [http-nio-8035-exec-7] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:05:42.408 [http-nio-8035-exec-7] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (role_id = 1 AND review_status = 2) ORDER BY create_time DESC
00:05:46.987 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@538a5fad, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@538a5fad}
00:05:46.988 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:05:46.989 [http-nio-8035-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (role_id = 1 AND review_status = 2) ORDER BY create_time DESC
00:06:02.342 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
00:06:22.238 [http-nio-8035-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@762cbd4d, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@762cbd4d}
00:06:22.239 [http-nio-8035-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:06:22.239 [http-nio-8035-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (account = 'admin')
00:06:22.306 [http-nio-8035-exec-5] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@239741c4, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@239741c4}
00:06:22.307 [http-nio-8035-exec-5] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:06:22.307 [http-nio-8035-exec-5] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (status = 0) ORDER BY create_time DESC
00:06:27.458 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2d1e2065, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2d1e2065}
00:06:27.459 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:06:27.459 [http-nio-8035-exec-9] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (status = 0) ORDER BY create_time DESC
00:06:45.747 [http-nio-8035-exec-10] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3d701f36, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3d701f36}
00:06:45.748 [http-nio-8035-exec-10] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:06:45.748 [http-nio-8035-exec-10] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (status = 0) ORDER BY create_time DESC
00:08:12.411 [http-nio-8035-exec-2] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@44a8a0fb, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@44a8a0fb}
00:08:12.411 [http-nio-8035-exec-2] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:08:12.412 [http-nio-8035-exec-2] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (role_id = 2 AND review_status = 2) ORDER BY create_time DESC
