00:00:01.748 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3a4fc234, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3a4fc234}
00:00:01.754 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.labserver.mapper.SysCourseMapper.selectList
00:00:01.754 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.labserver.mapper.SysCourseMapper.selectList:SELECT course_id,number,course_name,college,major,period,credits,type,create_time,update_time FROM sys_course ORDER BY create_time DESC
00:00:01.760 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2ce4d5ca, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2ce4d5ca}
00:00:01.762 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.762 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '2' AND dict_type = 'college')
00:00:01.766 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7223265c, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7223265c}
00:00:01.766 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.767 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '6' AND dict_type = 'major')
00:00:01.770 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@104cf59f, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@104cf59f}
00:00:01.770 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
